"subject","blockcode","trialcode","trialnum","latency","response","values.imageName","stimulusitem1","stimulusnumber1","stimulusitem2","stimulusnumber2","stimulusitem3","stimulusnumber3","stimulusitem4","stimulusnumber4","stimulusitem5","stimulusnumber5","stimulusitem6","stimulusnumber6","stimulusitem7","stimulusnumber7","stimulusitem8","stimulusnumber8","stimulusitem9","stimulusnumber9","stimulusitem10","stimulusnumber10","stimulusitem11","stimulusnumber11","stimulusitem12","stimulusnumber12","stimulusitem13","stimulusnumber13","stimulusitem14","stimulusnumber14","stimulusitem15","stimulusnumber15"
"A222R4PNCF08OF","practiceBlock","practice","1","1","0","Picture1.jpg","+","1","Picture1.jpg","1","mask5.jpg","5","mask3.jpg","3","mask1.jpg","1","mask2.jpg","2","mask5.jpg","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A222R4PNCF08OF","practiceBlock","centre_mouse","2","5207","reveal","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 0 of 12","1","Image 1 of 3","1","reveal.png","5"
"A222R4PNCF08OF","practiceBlock","practice_absent_trial","3","4014","no_4","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 1 of 12","1","Image 1 of 3","1","crow","2"
"A222R4PNCF08OF","practiceBlock","centre_mouse","4","1218","reveal","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 1 of 12","1","Image 1 of 3","1","reveal.png","5"
"A222R4PNCF08OF","practiceBlock","practice_absent_trial","5","3078","no_2","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 2 of 12","1","Image 1 of 3","1","line","6"
"A222R4PNCF08OF","practiceBlock","centre_mouse","6","960","reveal","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 2 of 12","1","Image 1 of 3","1","reveal.png","5"
"A222R4PNCF08OF","practiceBlock","practice_present_trial","7","2789","no_1","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 3 of 12","1","Image 1 of 3","1","black","4"
"A222R4PNCF08OF","practiceBlock","centre_mouse","8","2297","reveal","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 3 of 12","1","Image 1 of 3","1","reveal.png","5"
"A222R4PNCF08OF","practiceBlock","practice_absent_trial","9","986","no_1","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 4 of 12","1","Image 1 of 3","1","blanket","1"
"A222R4PNCF08OF","practiceBlock","centre_mouse","10","1065","reveal","Picture1.jpg","N_1.png","1","N_2.png","2","N_3.png","3","N_4.png","4","Y_1.png","1","Y_2.png","2","Y_3.png","3","Y_4.png","4","confidence.png","1","guessing.png","2","respond_yes.png","3","respond_no.png","4","Word 4 of 12","1","Image 1 of 3","1","reveal.png","5"
